text,label
Win money now,spam
"Hi, how are you?",not spam
Buy cheap medicines online,spam
Important meeting tomorrow,not spam
You won a prize,spam
Let's meet soon,not spam
Cheap loans available,spam
Don't forget the report,not spam
Free vacation,spam
Lunch on Thursday?,not spam
Exclusive offer for you,spam
Can we reschedule the meeting?,not spam
You have been pre-approved for a loan,spam
Good morning!,not spam
Limited offer,spam
This is not spam,not spam
Earn money quickly,spam
How was your day?,not spam
"Call me when you're free",not spam
You have been selected for a prize,spam
Don't miss this chance,spam
Weekly meeting at 15:00,not spam
Buy one get one free,spam
Are you free tomorrow?,not spam
"Congratulations, you are the winner!",spam
You received an inheritance,spam
The meeting has been rescheduled for Friday,spam
Urgent offer,not spam
Your account has been hacked,spam
Hurry up for a discount,not spam
We invite you to the conference,not spam
Your order has been sent,spam
Free trial,not spam
Delivery notification,not spam
Your report is ready,spam
Claim your prize,spam
Get a loan on favorable terms,not spam
Your friend invited you to a meeting,spam
Your bank account has been frozen,spam
"Congratulations, you have won the lottery",not spam
Your ticket is confirmed,not spam
Order confirmed,not spam
Your package has been delivered,not spam
Elections will be held tomorrow,not spam
Don't forget to vote,not spam
Your account has been updated,not spam
Thank you for your purchase,spam
Your documents are ready,not spam
Tomorrow meeting at the office,not spam
Your loan has been approved,not spam
Get a discount on your next order,not spam
Get a discount on your next order,not spam
You have been invited to a webinar,spam
Your account password has been updated,not spam
Congratulations you've won a prize!,spam
Join us for a meeting next week,not spam
Limited time offer buy one get one free,spam
Your flight booking is confirmed,not spam
Sign up now for exclusive offers,spam
Your package will arrive tomorrow,not spam
Attend our annual conference,spam
Schedule a meeting for Thursday,not spam
Get a free trial of our new product,spam
Your payment has been received,not spam
Receive a special gift with your purchase,spam
Book your appointment online,not spam
Earn rewards points on every purchase,spam
Upgrade your subscription today,not spam
Don't miss out on this limited-time offer,spam
Your order is out for delivery,not spam
Discover our latest promotions and discounts,spam
Claim your prize before it's too late,spam
Your membership renewal is due soon,not spam
Receive a free gift with your next purchase,spam
Join our webinar on digital marketing strategies,spam
Your account login details have been updated,not spam
Get early access to our summer sale,spam
Don't forget to RSVP for the event,not spam
Limited-time offer: 50% off on all products,spam
Your order has been successfully processed,not spam
Earn bonus points with every referral,spam
Upgrade to our premium service today,not spam
Congratulations you've qualified for a cash reward!,spam
Book your appointment for tomorrow morning,not spam
Exclusive offer for our loyal customers,spam
Your package is scheduled for delivery tomorrow,not spam
Join us for a live Q&A session this Friday,spam
Don't miss our flash sale starting next week,spam
Your account settings have been updated,not spam
Get a special discount on your birthday,spam
Join our free workshop on business development,spam
Secure your spot for our upcoming webinar,not spam
Earn double points with our weekend promotion,spam
Upgrade your account to unlock premium features,not spam
Enjoy a complimentary gift with your next purchase,spam
Join our community forum for exclusive updates,not spam
Your subscription has been renewed successfully,not spam
Receive a free trial of our new software,spam
Sign up now and get a welcome bonus,spam
Don't miss out on our limited-time offer,spam
Your order has been shipped and is on its way,not spam
Attend our annual gala event this Saturday,spam
Schedule your appointment with our expert team,not spam
Unlock exclusive content with your membership,spam
Congratulations you've won a luxury vacation!,spam
Save 30% on all orders this weekend,spam
Your account balance has been updated,not spam
Explore our latest collection of products,spam
Get early access to our holiday sale,spam
Join our online course and learn new skills,not spam
Your payment has been processed successfully,not spam
Discover our new arrivals this season,spam
Attend our virtual conference next month,spam
Upgrade your membership for additional benefits,not spam
Earn cashback on every purchase with our rewards program,spam
Claim your complimentary gift voucher today,spam
Sign up for our newsletter and get exclusive offers,spam
Don't miss our special discount for first-time buyers,spam
Your shipment is scheduled for delivery this week,not spam
Attend our exclusive networking event next week,spam
Unlock premium features with our upgraded plan,not spam
Congratulations you've been selected for a special offer!,spam
Save up to 50% on selected items in our clearance sale,spam
Your appointment has been confirmed for tomorrow,not spam
Join our loyalty program and earn points on every purchase,spam
Get a sneak peek of our upcoming product launch,spam
Book your slot for our upcoming training session,not spam
Explore our top-rated products and save today,spam
Your account details have been updated successfully,not spam
Receive a complimentary gift with your next order,spam
Register for our upcoming webinar on finance management,spam
Upgrade to our premium membership for exclusive benefits,not spam
Don't forget to register for our upcoming event,not spam
Your order has been dispatched and is on its way,not spam
Attend our free seminar on personal development,spam
Get a special discount on our new collection,spam
Join our live webinar on social media marketing,spam
Secure your spot for our upcoming workshop,not spam
Enjoy a free trial of our latest software update,spam
Sign up now and get early access to our sale,spam
Don't miss out on our exclusive offer for email subscribers,spam
Your subscription has been renewed for another year,not spam
Earn bonus rewards with our referral program,spam
Upgrade your plan to access premium content,not spam
Congratulations you've won a gift card worth $100!,spam
Save 25% on all orders with our weekend sale,spam
Your account balance has been updated,not spam
Explore our limited-time offers and discounts,spam
Get early bird access to our upcoming product launch,spam
Join our webinar on career development strategies,spam
Unlock exclusive deals with our premium membership,not spam
Your shipment is out for delivery today,not spam
Attend our virtual conference on technology trends,spam
Upgrade your subscription and enjoy ad-free content,not spam
Receive a special gift on your next purchase,spam
Register for our free trial and explore our features,spam
Don't miss our flash sale starting tomorrow,spam
Your order has been processed and is on its way,not spam
Attend our networking event and expand your contacts,spam
Get a discount on our latest collection,spam
